#  STRING NAME (do not change!);English;French;Italian;Spanish;German;Polish;Portuguese;Russian;;Extra2;X;
#  ========================;==========;==========;==========;========;==========;==========;==========;==========;;==========;X;
1000720name;Germany responds to our request;;;;;;;;;;;
1000720desc;Germany has responded to our request to merge the Reichskommissariat in Belgium with our realm.;;;;;;;;;;X;
1000720a;The Kingdom of Burgundy is reborn under the Third Reich!;;;;;;;;;;X;
1000720b;Disappointing, but we have no choice but to accept.;;;;;;;;;;X;
1000721name;Neushwabenland Base 211;;;;;;;;;;;
1000721desc;"During our war against the USSR and the British Empire, certain secretive elements of the Reich were hard at work far away in Antartica. The following is a classified directive from the Führer:\n \nTop Secret\n \nReview of the order of the Führer from 10.01.1940\n \n""The united and organized research of our scientists, marine and submarine operatives of the Kriegsmarine, which accomplished the impossible and successful work of the SS for the study of the heritage of the Reich, has allowed us to claim the new and infinite territories for the German Reich in Antartica.\n \nIn context with the access to the new territories, I order during the next 6 months the creation of a specific developmentment commission for recruitment inside the Wehrmacht, Luftwaffe, Kriegsmarine and SS to select volunteers for the colonization of New Swabia.\n \nThe commission has to take into regard the selection of candidates that they will forever part with the Fatherland and be sent for permanent settlement in the new territories. This means the resettlement of the best recruits has to be done in total secrecy. As being responsible for the Reich in the resettlement of part of the populations of pure Aryans to New Swabia and to keep these actions secret, I declare Reichsleiter Martin Bormann in charge of these efforts."" - Führer und Reichskanzler, Adolf Hitler";;;;;;;;;;X;
1000721a;If we cannot find Hyperborea, we will create it ourselves.;;;;;;;;;;X;
1000722name;The Swiss Question;;;;;;;;;;;
1000722desc;"The Swiss Confederation was put into a precarious position during both World Wars, being surrounded on all sides by the Axis powers during World War Two. Although Switzerland maintained strict neutrality as it had done for centuries, there was serious concern about the intentions of the Third Reich and whether or not Switzerland would be Hitler's next target. Predominantly German-speaking in its central territories with a substantial Francophone population in the west and Italian and Romansch spoken in the south, the Swiss Confederation felt its multilingual, decentralized democracy was under extreme threat by Hitler's vision of a Greater Germanic Reich and the National Socialist worldview.\n \nWith the war in Europe finally drawing to a close, it is time to decide upon the fate of Switzerland. Hitler's own views on the Swiss are distinctly negative and his desire to wipe it from the map are quite clear. The only reason for the existence of the Swiss state was due to the weakness of the Holy Roman Empire and now that the Germanic Reich has been forged, its existence is no longer necessary. There is no room for a banker's haven situated directly in the middle of Europe, and one in which hostile powers can easily foster subversive elements and host spy networks. The Swiss are simply ""a misbegotten branch of our Volk"" and their state a bizarre anachronism that has no place in our New Order. It is time to bring them home into the Reich!";;;;;;;;;;X;
1000722a;Switzerland is incompatible with our vision. Invade!;;;;;;;;;;X;
1000722b;Let the Swiss be. Respect their neutrality.;;;;;;;;;;X;
1000723name;Activate the National Redoubt;;;;;;;;;;;
1000723desc;The Germans are invading! It is time to activate the National Redoubt and ensure that their invasion is at least a costly one!;;;;;;;;;;X;
1000723a;Blow the bridges and tunnels!;;;;;;;;;;X;
1000724name;The Swiss have collapsed bridges and tunnels!;;;;;;;;;;;
1000724desc;Though there were propositions for the invasion of Switzerland, most notably in the plan of Operation Tannenbaum, such an invasion never took place in reality. The Swiss terrain in the heart of the Alps is very difficult to invade, nigh impossible in certain areas. The Swiss system of national mobilization along with their National Redoubt defensive strategy ensured that any invasion would be incredibly costly and not worth the time or resources of hostile powers. The country also served as a convenient area for diplomatic negotiations and as a place to store economic assets, leading to the famous Swiss reputation for their banking ability.\n \nNow that we have decided to invade Switzerland, they have triggered their National Redoubt defensive plan. Major bridges and tunnels have been destroyed, making it incredibly difficult for our forces to traverse this rugged terrain. The Swiss Army has also withdrawn to their fortress complexes and intend to make a desperate last stand against our forces. These fortifications are some of the best in the world, and it may take some time before we will be in a position to begin assaulting them. This invasion will be very costly, but it is required to complete our vision of the Greater Germanic Reich!;;;;;;;;;;X;
1000724a;If they think this will stop us, they are sorely mistaken!;;;;;;;;;;X;
1000725name;Partition of Switzerland;;;;;;;;;;;
1000725desc;Not even the best defensive systems in the world could stop the Reich in taking over Switzerland. Now that this struggle has ended, we must decide on how to partition the region between ourselves and our allies. The cantons in the west are primarly French-speaking and would be appropriately managed by our regimes in France, while the Italian-speaking provinces in the south could be given to Italy and fulfill Mussolini's goals.\n \nThe bulk of Switzerland already speaks German and will become part of the Reich regardless of what we choose. We can also decide to incorporate the entirety of Switzerland and not reward our allies with any territory. The National Redoubt fortification system will also be deconstructed and the materials used to rebuild the infrastructure that was destroyed during the invasion.;;;;;;;;;;X;
1000725a;Partition Switzerland between our allies.;;;;;;;;;;X;
1000725b;All of Switzerland belongs to the Reich!;;;;;;;;;;X;
1000726name;The Greater Germanic Reich;;;;;;;;;;;
1000726desc;"The ""Greater Germanic Reich"", or ""Greater Germanic Reich of the German Nation"" is the name of the state that National Socialist Germany aspired to establish throughout Europe and its conquests in the east. This pan-Germanic empire would be the incarnation of Hitler's vision as outlined in Mein Kampf and would unite all Germanic peoples into a continent-spanning superstate that was intended to foster the ideal conditions for the future civilization of the Aryan race.\n \nThis territory would include all of Greater Germany along with traditionally Germanic areas such as the Netherlands, Belgium, and the Scandinavian countries. In addition, all of European Russia up to the Ural mountains would eventually become part of this state through a period of colonization.\n \nNow that this Teutonic dream has finally been accomplished, we may proclaim the Greater Germanic Reich. This Reich that will last for a thousand years should be known to world by its proper name. What should such a title be?";;;;;;;;;;X;
1000726a;The Greater Germanic Reich.;;;;;;;;;;X;
1000726b;The Germanic State of the German Nation.;;;;;;;;;;X;
1000726c;The Teutonic Reich of the German Nation.;;;;;;;;;;X;
1000726d;The Germanischer Staat Deutscher Nation.;;;;;;;;;;X;
1000726e;"No need for a change, we are still simply ""Germany"".";;;;;;;;;;X;
1000727name;The Final Battle;;;;;;;;;;;
1000727desc;"Adolf Hitler's perspective on the United States varies in his writings and recorded speeches. He consistently referred to it as the ""American Union"" and held a combination of distaste and respect for American society and the American state, respectively. While he praised the American model for forming a racially strong mixture of European peoples and its national expansion in the concept of Manifest Destiny, he criticized the state for gradually relaxing these policies in favor of an open society and integration with other foreign nations, particularly its citizens of African ancestry. He also highly distrusted the American financial sector, believing it was the ultimate haven for internationalists and was completely controlled by Jewish interests.\n \nWhile American fears of a German invasion were primarily motivated by war industries hoping to profit from public anxiety, there were German concepts planned for long-range bombers and other methods of inflicting damage in a so-called ""war of continents"" that Hitler believed may erupt one day between a German-dominated Europe and the USA. In reality, Germany had no ambitions or any practical possibility of an invasion of North America.\n \nThe time has come to destroy the final safe haven of both Bolshevisks and international capitalism. We have the technology and the resources of Europa behind us, and mostly importantly the Teutonic courage that will be necessary to wage a war across the Atlantic Ocean. It is time for the Endsieg!";;;;;;;;;;X;
1000727a;The time has come to destroy the American Union!;;;;;;;;;;X;
1000727b;This is impossible. We need to reconcile with the USA.;;;;;;;;;;X;
1000728name;Eastern Karelia;;;;;;;;;;;
1000728desc;"Waging a war as a co-belligerent with Germany against the Soviet Union, Finland's Continuation War did not turn out successfully for them. While Germany and Finland were never formal allies, coordinated military efforts were made in an attempt to bring down their mutual opponent.\n \nNow that the war in the east has been won, we have come into possession of the Karelia region. This is coveted by the Finnish in their vision of a ""Greater Finland"". Although they were forced to sign a separate peace with the Soviet Union during Operation Barbarossa, we may open negotiations to grant them control of this area in exchange for a formal alliance. A loyal ally that would be indebted to us for such a gesture would be valuable to help ensure that we retain control over our new frontier, along with maintaining the historically good relations between Germany and Finland.";;;;;;;;;;X;
1000728a;Cede Karelia to Finland in exchange for Axis membership.;;;;;;;;;;X;
1000728b;We will retain control of Karelia.;;;;;;;;;;X;
1000729name;Greater Finland;;;;;;;;;;;
1000729desc;Though we have achieved our vision for Greater Finland, we are effectivley subordinated to the Reich and our ministers have been appointed appropriately.;;;;;;;;;;X;
1000729a;We are part of the New Order.;;;;;;;;;;X;
1000730name;Une Europe Allemande;;;;;;;;;;;
1000730desc;With the official incorporation of the French State, we have been granted our remaining colonial possessions not under the control of the rogue forces of Free France.;;;;;;;;;;X;
1000730a;We are part of the New Order.;;;;;;;;;;X;
1000731name;The Fall of France;;;;;;;;;;;
1000731desc;"The surrender of the French Third Republic to the Third Reich stunned the world - France, still seen as the strongest military power in Europe and arguably throughout the world, was not expected to capitulate in the summer of 1940. Even the German General Staff had serious doubts about the viability of the campaign. As noted by Franz Halder on November 3, 1939 - ""None of the higher headquarters think that the offensive has any prospect of success."" Hitler's proposal carried an enormous risk that could have resulted in a catastrophic defeat for the nascent Reich.\n \nNot only did the Allies possess overall more tanks than the Germans in the spring of 1940, the British and French models were superior. In addition to this, the Allies had captured a draft of the initial invasion plans when a German plane crashed over Belgium in January 1940. Erich von Manstein, supported by Heinz Guderian and Gerd von Rundstedt, instead proposed an alternative plan - a ""sickle cut"" maneuver through the Ardennes forest directly into France around Sedan. This plan was phenomenally risky, as it was a 300 kilometer race to the coast with no supporting infantry and had the potential to completely cut off the advancing Panzer divisions. The plan was successful and the Allies were caught completely off-guard, resulting in a decisive military victory for the Germans.\n \nWhere the Deutsches Heer had not been able to achieve success in the 4 years of the First World War, the Wehrmacht was able to conquer France in a matter of weeks. The world was left stunned, and the British now stood alone.";;;;;;;;;;X;
1000731a;The Wehrmacht is unstoppable!;;;;;;;;;;X;
1000732name;Revenge at Compiegne;;;;;;;;;;;
1000732desc;"The German Empire had been forced to sign its instrument of surrender in 1918 in a railway carriage at a location about fifty miles northeast of Paris in Compiegne. This exact same railway car had been housed in a French museum until Hitler ordered it to be delivered to the precise spot that Germany had been forced to surrender 21 and a half years prior. The arriving French delegation immediately recognized Hitler's objective of a symbolic humiliation and revenge for the Treaty of Versailles.\n \nDespite Hitler's intention to humiliate the French being clear to all, the drafters of the Armistice inserted ""Germany does not have the intention to use the armistice conditions and armistice negotiations as a form of humiliation against such a valiant opponent.""\n \nThe Alsace-Lorraine Monument (depicting a German Eagle impaled by a sword) was destroyed and the site obliterated, aside from the statue of Ferdinand Foch. The carriage itself was taken to Berlin along with pieces of a stone tablet that had the following inscribed in French: HERE ON THE ELEVENTH OF NOVEMBER 1918 SUCCUMBED THE CRIMINAL PRIDE OF THE GERMAN REICH. VANQUISHED BY THE FREE PEOPLES WHICH IT TRIED TO ENSLAVE.";;;;;;;;;;X;
1000732a;Foch shall watch over a wasteland.;;;;;;;;;;X;
1000733name;Rommel's Ghost Division;;;;;;;;;;;
1000733desc;"Before achieving his fame as the ""Desert Fox"", General Irwin Rommel and his command of the 7th Panzer Division played a critical role in the Battle of France. Rommel had no prior experience commanding a division, but did have close personal ties to Hitler. By 1940, the two had developed a personal liking for each other, each sharing their dislike of the elitism of the old German aristocracy and finding solidarity in each other's humble backgrounds. Rommel desired command of a panzer division, which was granted - any objections from the army being overruled by Hitler himself. His style of leading from the front, often from the top of a tank, earned great respect from his men and gave him a heroic aura that German propaganda quickly capitalized upon.\n \nWhen the invasion of France began on May 10, 1940, Rommel and the 7th Panzer Division raced ahead to their objective at Avesnes. Reaching the town, Rommel had prior orders to halt, but continued to press forward. During this time, the division would briefly lose radio contact with German high command, leaving their location virtually unknown. This, along with their reputation for speed and unpredictability earned them the nickname ""Ghost Division"". Rommel detailed his experience as a ""lightning tour of France"" and ""how wonderful it's all been"" in his diary.";;;;;;;;;;X;
1000733a;The Wehrmacht's pride!;;;;;;;;;;X;
1000734name;Estado Espanol;;;;;;;;;;;
1000734desc;"Spain found itself in a delicate position in the summer of 1940 after the momentous victory of the Third Reich over the French Republic. Francisco Franco had lead the Spanish Nationalist coalition to victory in a brutal civil war that left the country devastated. The people were starving and industrial output was crippled, along with constant guerilla skirmishes from the remaining opposition left the Spanish State in no position to enter into foreign entanglements.\n \nAfter the fall of Paris, Franco was impressed by Germany's performance. He knew that he owed Hitler a debt for his critical support during the Civil War, but also knew that Spain was critically vulnerable to the British navy and there was absolutely no popular support for war. From Hitler's perspective the capture of Gibraltar was a valuable objective, but Franco's demands for French Morocco and enormous material support were too high - he did not want to risk alienating the friendly French regime in Vichy and Spain was more valuable as a ""window"" to potentially bypass a British blockade.\n \nUltimately, Spain remained as a non-belligerent during the war but provided volunteers from the radical Falange party that become famously known as the Azul Division, which would fight alongside the Wehrmacht during Operation Barbarossa. The meeting between Hitler and Franco at Hendaye did not go well - Franco's high demands and statement that Spain cannot enter the war ""por gusto"" (for fun) and Hitler's impression - ""I would rather have teeth pulled than meet with Franco again!"" ended negotiations for Spain's entry to the Axis bloc. Regardless, Franco maintained a neutral position that favored Axis interests while keeping war-ravaged Spain from entering the global conflict.";;;;;;;;;;X;
1000734a;As this war develops, we may examine the Spanish case again.;;;;;;;;;;X;
1000735name;The British are going to lose the war!;;;;;;;;;;;
1000735desc;Although Franco was initially reluctant to enter the war, the turning tide has caused him to reconsider. Upon hearing the exuberant radio broadcasts that the Wehrmacht had successfully established a beachhead on the British isles, he immediately sent a dispatch to Berlin. Now that the outcome of the war seems to be without question, Spain is interested in getting its share of the spoils, just as Italy did when Paris fell.\n \nSeizing Gibraltar would provide a much-needed boost to national morale and lend legitimacy to his rule after the Spanish nation has been so terribly scarred by its civil war.;;;;;;;;;;X;
1000735a;We must retake Gibraltar!;;;;;;;;;;X;
1000735b;We are not prepared for this.;;;;;;;;;;X;
1000736name;Franco wishes to join the Axis;;;;;;;;;;;
1000736desc;"Although Francisco Franco was initially reluctant to enter the war, the success of Operation Sealion caused him to reconsider. Upon hearing the exuberant radio broadcasts that the Wehrmacht had successfully established a beachhead on the British isles, he immediately sent a dispatch to Berlin. Now that the outcome of the war seems to be without question, Spain is interested in getting its share of the spoils, just as Italy did when Paris fell. Seizing Gibraltar would provide a much-needed boost to national morale and lend legitimacy to his rule after the Spanish nation has been so terribly scarred by its civil war, along with ensuring that the Spanish State has a seat at the table of the New Order in Europe.\n \nOur diplomats have quickly prepared a set of terms for the Spanish and have made it clear that there will be no negotiation - Spain will immediately become a signatory of the Tripartite and Anti-Comintern pacts, and will accede ""any necessary measures"" for military intervention or support needed in the capture of Gibraltar. If Spain wishes to partake in the spoils of our hard-earned victory against the Allies, they shall be bound to obey our wishes!";;;;;;;;;;X;
1000736a;Welcome to the Axis!;;;;;;;;;;X;
1000736b;The Latin are nothing but opportunists! Decline!;;;;;;;;;;X;
1000737name;The Second Meeting at Hendaye;;;;;;;;;;;
1000737desc;After the success of the Operation Barbarossa, the Germans focused their attention toward consolidating control over their new conquests in the east and finishing remaining business in Europe, most notably against the stubborn resistance of the United Kingdom. Spain, still being militarily unaligned with either faction, found itself under increasing pressure. Control over Gibraltar would enable the Axis powers to effectively seal off the Mediterranean from British naval power, severing them from their Empire and surely forcing them to the negotiation table and finally ending the war.\n \nAs the Wehrmacht mobilized on the Spanish border, Franciso Franco knew that the luxury of his neutrality had come to an end. With the complete German domination of the European continent, he had little choice but to once again meet with the Führer and take his place within the New Order.;;;;;;;;;;X;
1000737a;A united Europe for a brighter future.;;;;;;;;;;X;
1000737b;The Spanish are unnecessary to our goals.;;;;;;;;;;X;
1000738name;The Turkish Question;;;;;;;;;;;
1000738desc;The Turkish Republic, a nation battered by the first World War and its own war of independence only decades ago, is balanced on a razor's edge between the competing factions of the Second World War. A devastated economy and its new vision for a modern Turkish nation put it into a position of strong neutrality. When German Panzers came within 50 miles of Istanbul during the invasions of Yugoslavia and Greece, the Turkish government destroyed key bridges in anticipation of further German aggression in the area. A non-aggression pact signed in 1941 just 4 days before the invasion of the Soviet Union eased tensions for all factions involved, as Turkey was sharply watched by the Axis, Allies, and Soviets alike for its critical position.\n \nWith the success of Operation Barbarossa, Turkey may no longer take a neutral stance. The Reich must have total control over the Black Sea for the transportation of crude oil from the Caucaus oil fields and the grand visions of Generalplan Ost in Crimea, along with ensuring travel through the Bosphorus Strait is under our control. The Middle East must be brought into our sphere of influence, and Turkey stands in our way. While Hitler has a nominal respect for the Turks as being former allies in the First World War, he knows that the head of state of the Turkish Republic, Ismet Inonu, cannot be trusted. His refusal for Axis alignment in the past along with his conciliatory attitude towards refugees fleeing our occupied territories cannot be tolerated any longer. Our forces stand ready to force their cooperation and bring them into the New Order.;;;;;;;;;;X;
1000738a;Demand full cooperation immediately.;;;;;;;;;;X;
1000738b;Ismet cannot be trusted. Occupy the country!;;;;;;;;;;X;
1000738c;This is unnecessary.;;;;;;;;;;X;
1000739name;The Germans demand our submission;;;;;;;;;;;
1000739desc;Our position of neutrality has come to an end - Germany has surrounded our country, and demands our cooperation under threat of invasion. The Turkish Republic must now decide its alignment.;;;;;;;;;;X;
1000739a;We have no choice but to comply.;;;;;;;;;;X;
1000739b;Never!;;;;;;;;;;X;
1000740name;Fate of the Middle East;;;;;;;;;;;
1000740desc;The Middle East is under our control.;;;;;;;;;;X;
1000740a;A;;;;;;;;;;X;
1000740b;B;;;;;;;;;;X;
1000740c;C;;;;;;;;;;X;
1000740d;D;;;;;;;;;;X;
1000900name;The British Isles are overrun;;;;;;;;;;;
1000900desc;We thought we were safe on our islands - not since the invasion of William the Conqueror has a foe been able to set foot upon our shores. Now, the unthinkable has happened - the Hun has overran the British Isles. Our defensive lines have been completely broken and London is in enemy hands. In order to save British lives, we have no choice but to surrender.;;;;;;;;;;X;
1000900a;The United Kingdom lives its Darkest Hour.;;;;;;;;;;X;
1000900b;We will never surrender as long as a single Briton lives!;;;;;;;;;;X;
1000901name;The British High Command surrenders;;;;;;;;;;;
1000901desc;The invasion of the British Isles would be recorded as one of the most vicious conflicts ever fought, at least when told outside of the Reich's more palatable history lessons that would teach young Germans how the British Empire fell to the Reich. After the success of Operation Sealion, it was expected that London would quickly capitulate and seek favorable terms while the Führer was still willing to engage them in an equitable discussion. This estimation was yet another gross miscalculation of the British national spirit. the Führer would later ascribe the nature of this conflict as a demonstration of Aryans fighting Aryans, a tragic waste that would have never taken place if it were not for the corrupting Bolshevik influences in the United Kingdom.\n \nEver since the first Panzer laid down tracks on English soil, the fighting has been utterly relentless. British citizens, men, women and children alike seem to believe they are engaged in a conflict that challenges their very right to exist. Slash and burn tactics, tank traps, roadblocks, improvised explosives and an armed citizen around every corner has made the invasion of Great Britain a desperate affair. Despite repeated attempts to open channels with the British High Command, they have gone unanswered - until today. With England completely overrun by the Wehrmacht, we have received a dispatch from the surviving members of the British military leadership. Winston Churchill is dead or missing, refusing to flee London before it was captured. Realizing that continued resistance is utterly pointless, the British have finally surrendered to us.;;;;;;;;;;X;
1000901a;Demand an immediate ceasefire and occupy the isles.;;;;;;;;;;X;
1000901b;Their surrender is unnecessary.;;;;;;;;;;X;
1000902name;Germany occupies the British Isles;;;;;;;;;;;
1000902desc;After our surrender to Germany, we have been forced to grant control over the British Isles to their forces.;;;;;;;;;;X;
1000902a;Cede the islands to Germany and capitulate to Canada.;;;;;;;;;;X;
1000903name;Occupation of the British Isles;;;;;;;;;;;
1000903desc;The history of the British Isles is a tumultuous one, full of conflict and struggle. Ranging from bitter civil wars such as the War of the Roses in the 15th century or the campaign of William the Conqueror, Great Britain has been anything but a tranquil place. Over the course of centuries, the very identity of the British nation had been forged in blood from invasions by various groups, many of them Germanic in origin. Whether it was the Angles, Jutes, Saxons, Normans, Vikings, Celts or the ancient Romans, the British people have been refined through ages of conflict.\n \nIn accordance with National Socialist ideals, Adolf Hitler believed the Aryan identity of the English was a prime example of social darwinist theory and that the British Empire could not have rose to become the largest empire ever seen in world history without these racial strengths. He would frequently comment in his writing and discourse that he never desired a war with the British, and would have preferred to have their empire as a natural ally of the Reich. History would record that the conquest of the United Kingdom was only conducted because Hitler's hand had been forced, and that the degenerate elements of internationalists and Bolsheviks had to be purged from an otherwise Aryan nation.\n \nNow that the British Isles have once again been conquered by Germanic strength, a New Order is dawning on Europe. Remaining pockets of British resistance continue their fight, but the bulk of their armed forces have either been annihilated or obeyed the order to stand down. The Third Reich has accomplished an invasion that has not been seen since 1066, and never again will the British interfere with Germany's ambitions in Europe.;;;;;;;;;;X;
1000903a;We have reminded the Anglo-Saxon of his true origins.;;;;;;;;;;X;
1000904name;Collapse of the British Empire;;;;;;;;;;;
1000904desc;The surrender of the British Isles caused an enormous ripple effect throughout the entire world. Once the British High Command had surrendered and the royal family fled to Canada, the ability of the British to maintain control over their empire was virtually non-existent. All over the world former British dominions find themselves free of their former master, for better or for worse.\n \nHitler did not desire this particular outcome. His original vision as outlined in Mein Kampf was an alliance of the two Germanic states, with the Reich overseeing continental Europe and the British dominating the oceans and her overseas empire. He personally believed that the civilizing, stable influence of the British Empire was beneficial to world as a whole, and that the loss of this power would be a negative consequence. The trauma inflicted by the invasion of Great Britain has proven to be too much for the empire to withstand, and its possessions are quickly falling under the control of her former dominions and opportunistic powers all over the planet.;;;;;;;;;;X;
1000904a;The sun has finally set.;;;;;;;;;;X;
1000905name;Collapse of the British Empire;;;;;;;;;;;
1000905desc;The surrender of the British Isles caused an enormous ripple effect throughout the entire world. Once the British High Command had surrendered and the royal family fled to Canada, the ability of the British to maintain control over their empire was virtually non-existent. All over the world former British dominions find themselves free of their former master, for better or for worse.\n \nHitler did not desire this particular outcome. His original vision as outlined in Mein Kampf was an alliance of the two Germanic states, with the Reich overseeing continental Europe and the British dominating the oceans and her overseas empire. He personally believed that the civilizing, stable influence of the British Empire was beneficial to world as a whole, and that the loss of this power would be a negative consequence. The trauma inflicted by the invasion of Great Britain has proven to be too much for the empire to withstand, and its possessions are quickly falling under the control of her former dominions and opportunistic powers all over the planet.;;;;;;;;;;X;
1000905a;The sun has finally set.;;;;;;;;;;X;
1000906name;Fate of the British Isles;;;;;;;;;;;
1000906desc;The British Empire is no more. As the Reich's banner is draped across the Houses of Parliament, specifically chosen representatives of the new administration of the British Isles arrive via motorcade. The Führer has made it clear that nothing must disturb this monumental historical event, and security is air tight across the entire city of London. The best color cameras and recording equipment have been brought in to record the proceedings, ensuring that the Reich's victory over the internationalist bankers and Bolshevik corruption will be preserved for future generations.\n \nThe failure of the British to respond to multiple attempts at a negotiated peace demonstrated Hitler's fundamental misunderstanding of British political goals, and this lack of understanding would ultimately be one of the major causes of the Second World War. It would also result in the eventual conquest of the British Isles and the historic meeting of various nationalist figures and German sympathizers all eager to earn their place in the New Order.\n \nWe have several options available to us. We can create nationalist regimes in England and Scotland, create a new National Socialist British Union under our control, or appoint Oswald Mosley and the British Union of Fascists to lead the United Kingdom into a new era of isolationism and inward focus. We will have the chance to review more information about each of these options before we make a final decision. Any option we choose will incur war reparations on the British to help us rebuild Europe after such a terrible war.;;;;;;;;;;X;
1000906a;Present plans for the partition between England and Scotland.;;;;;;;;;;X;
1000906b;Present plans for the new British Union.;;;;;;;;;;X;
1000906c;Present plans for appointing the British Union of Fascists.;;;;;;;;;;X;
1000906d;This is unnecessary. The isles will remain occupied.;;;;;;;;;;X;
1000907name;Fate of the British Isles - Partition of Great Britain;;;;;;;;;;;
1000907desc;One of the favored methods employed by the Third Reich to establish control over its areas of interest was the appointment of nationalist leaders from the native population. With the specific exception of the Reichskommissariats in the eastern territories, German conquests in areas such as Norway, Belgium, the Netherlands and France was effectively managed through the installation of German or Nationalist Socialist sympathizers, most often recruited from local political movements.\n \nWe now have the option to pursue this same policy to implement our New Order in the British Isles. With the collapse of the British Empire we may abolish the Act of Union between the kingdoms of England and Scotland, dissolving the entity of the United Kingdom entirely. Appropriate political leaders for the new leadership of England and Scotland are present at this meeting, and would be completely beholden to our interests if we pursued this option. There are also those that believe we should split the United Kingdom into as many separate parts as possible, a similar philosophy espoused by Alfred Rosenberg in his ideas for the Soviet Union.;;;;;;;;;;X;
1000907a;Divide and conquer - create England and Scotland.;;;;;;;;;;X;
1000907b;Create England and Scotland and occupy the channel.;;;;;;;;;;X;
1000907c;Create England, Scotland and Wales!;;;;;;;;;;X;
1000907d;Create England, Scotland, Wales, and occupy the channel.;;;;;;;;;;X;
1000907e;Let's review the other plans before making this choice.;;;;;;;;;;X;
1000908name;Fate of the British Isles - Create the British Union;;;;;;;;;;;
1000908desc;The involvement of the United Kingdom in the Second World War was hallmarked by a very high level of political division and concern from common British citizens. After the Fall of France, the United Kingdom stood alone against the Third Reich and there were few who believed that it could realistically survive for much longer against the overwhelming strength of Hitler's ambitions. There are many that believe it was only through the stubborn will of Winston Churchill that the British did not capitulate.\n \nWith the succesful conquest of the British Isles, we now have the opportunity to recreate the United Kingdom with our direct interests in mind. The formerly deposed Edward VIII would be an ideal leader for this new state, with Rudolf Hess overseeing the daily affairs of the new British government. The British National Socialist Party will be supported by us to begin rooting out the corrupting influences of both unbridled capitalism and Marxist socialism. All foreign affairs will be directed from Berlin, effectively making this new British Union an extension of the Reich in all but name. This will also allow us to have complete control over the future of the British nation in accordance with the New Order.;;;;;;;;;;X;
1000908a;We come as liberators. Create the new British Union!;;;;;;;;;;X;
1000908b;Create the British Union and occupy the channel.;;;;;;;;;;X;
1000908c;Let's review the other plans before making this choice.;;;;;;;;;;X;
1000909name;Fate of the British Isles - Appoint the British Union of Fascists;;;;;;;;;;;
1000909desc;"The British Union of Fascists was a political group founded by Oswald Mosley in 1932. Initially enjoying considerable popular support, endorsement of the group began to wane as it became increasingly radicalized. The 1936 Battle of Cable Street saw a clash between the BUF and anti-fascist groups, eventually leading to the Public Order Act of 1936 which banned political uniforms in the United Kingdom. This affected Mosley's party considerably who were known as the ""Blackshirts"" from the uniforms they wore. Growing fears of a pro-German organization within the United Kingdom itself eventually lead to the arrest of Oswald Mosley and most prominent members of the BUF, leading to its banishment in 1940.\n \nWe now have the opportunity to install Oswald Mosley as the leader of the United Kingdom and resurrect the British Union of Fascists. While this option aligns the least with the Reich's direct interests in Britain, it is also the least punishing settlement we can reasonably impose on the British Isles. Mosley models many of his ideas after Mussolini's fascist regime in Italy, with the notable exception of an insistence on isolationism and no imperialist ambitions. His strong anti-communist stance and assurance of the British limiting their interests to only their island would ensure that the Reich could pursue its goals free of British interference.";;;;;;;;;;X;
1000909a;Allow Oswald Mosley to lead the new Britain.;;;;;;;;;;X;
1000909b;Allow Oswald Mosley to lead Britain, but occupy Dover.;;;;;;;;;;X;
1000909c;Let's review the other plans before making this choice.;;;;;;;;;;X;
1000910name;British Union of Fascists comes to power;;;;;;;;;;;
1000910desc;The Germans have imposed the rule of Oswald Mosley onto the British people. We have no choice but to accept their cabinet appointments.;;;;;;;;;;X;
1000910a;The Leader is now in charge.;;;;;;;;;;X;
1000911name;The Irish Question;;;;;;;;;;;
1000911desc;The involvement of Ireland in the Second World War is a little known historical curiosity. Officially neutral throughout the conflict, it did not go unnoticed by the participating powers that certain groups in Ireland had overlapping interests with the ambitions of the Third Reich, most notably antagonism between the Irish Republican Army and the question of Northern Ireland. The Allied powers also showed considerable interest in Ireland, and the country's leadership had to maintain a careful balance of diplomatic relations in order to not compromise their neutrality.\n \nWith the occupation of the British Isles, the area of Northern Ireland came under our control. We can now decide on how to best leverage this situation to advantage. If we were to grant these provinces to Ireland, we could easily bring them into our sphere of influence. Given the geopolitical situation with the collapse of the British Empire, they would realistically have no choice but to accept. This would then allow us to influence the leadership of Ireland to align with our vision of the European New Order, along with ensuring our security in the northern Atlantic and creating a counterweight towards the British. We can also choose to create an autonomous state of Northern Ireland or continue the occupation.;;;;;;;;;;X;
1000911a;The Irish nation is united once more. Welcome to the Axis.;;;;;;;;;;X;
1000911b;Give the provinces to Ireland as a gift with no demands.;;;;;;;;;;X;
1000911c;Create the autonomous state of Northern Ireland.;;;;;;;;;;X;
1000911d;Recreate Ireland under our control.;;;;;;;;;;X;
1000911e;Northern Ireland will remain under occupation.;;;;;;;;;;X;
1000912name;Irish Nationalists seize power;;;;;;;;;;;
1000912desc;Germany has influenced our internal politics and seen to it that their interests are represented in our state.;;;;;;;;;;X;
1000912a;Very well.;;;;;;;;;;X;
1000913name;Welsh Nationalist cabinet;;;;;;;;;;;
1000913desc;Germany has influenced our internal politics and seen to it that their interests are represented in our state.;;;;;;;;;;X;
1000913a;Very well.;;;;;;;;;;X;
1000914name;The Germans are preparing Operation Sealion!;;;;;;;;;;;
