U56;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Sorbets;5513;FRA;1908;1932;1932;1932;3;5;0;2;0;5;0;unknownleader;1908;1932;1999;x
Souchier;5514;FRA;1908;1932;1932;1932;3;5;0;2;0;5;0;unknownleader;1908;1932;1999;x
Sucillon;5515;FRA;1914;1932;1932;1932;3;5;256;2;0;5;0;8268;1914;1932;1999;x
Tatin;5516;FRA;1908;1932;1932;1932;3;6;0;3;0;5;0;8269;1908;1932;1999;x
Tétart;5517;FRA;1908;1932;1932;1932;3;5;0;2;0;5;0;unknownleader;1908;1932;1999;x
Thévenet;5518;FRA;1910;1932;1932;1932;3;5;2;2;0;5;0;8272;1910;1918;1999;x
Toutée;5519;FRA;1908;1932;1932;1932;3;5;512;2;0;5;0;unknownleader;1908;1915;1999;x
Trouchaud;5520;FRA;1908;1932;1932;1932;3;5;0;2;0;5;0;unknownleader;1908;1932;1999;x
Varin;5521;FRA;1908;1932;1932;1932;3;6;4;3;0;5;0;7728;1908;1932;1999;x
Vérand;5522;FRA;1911;1932;1932;1932;3;6;0;3;0;5;0;530;1911;1932;1999;x
Verrier;5523;FRA;1908;1932;1932;1932;3;5;0;2;0;5;0;unknownleader;1908;1932;1999;x
Vidal;5524;FRA;1908;1932;1932;1932;3;5;0;2;0;5;0;7729;1908;1932;1999;x
Villeméjane;5525;FRA;1908;1932;1932;1932;3;5;0;2;0;5;0;8273;1908;1932;1999;x
Vimard;5526;FRA;1908;1932;1932;1932;3;5;256;2;0;5;0;unknownleader;1908;1915;1999;x
Virvaire;5527;FRA;1909;1932;1932;1932;3;5;512;2;0;5;0;7730;1909;1915;1999;x
Vuillemot;5528;FRA;1908;1932;1932;1932;3;5;0;2;0;5;0;unknownleader;1908;1932;1999;x
Woirhaye;5529;FRA;1908;1932;1932;1932;3;5;0;2;0;5;0;unknownleader;1908;1932;1999;x
Boué de Lapeyrère;5530;FRA;1902;1908;1911;1914;0;6;0;3;0;5;1;531;1902;1916;1999;x
Dartigue du Fournet;5531;FRA;1909;1913;1915;1916;0;5;0;2;0;5;1;532;1909;1917;1999;x
Gauchet;5532;FRA;1910;1914;1916;1917;0;5;0;2;0;5;1;533;1910;1932;1999;x
de Bon;5533;FRA;1914;1916;1919;1932;1;5;0;2;0;5;1;7731;1914;1932;1999;x
de Jonquières;5534;FRA;1902;1907;1908;1932;1;5;512;2;0;5;1;7935;1902;1915;1999;x
Amelot;5535;FRA;1910;1914;1932;1932;2;5;0;2;0;5;1;unknownleader;1910;1926;1999;x
Amet;5536;FRA;1915;1918;1932;1932;2;6;0;3;0;5;1;unknownleader;1915;1932;1999;x
Aubry;5537;FRA;1914;1917;1932;1932;2;5;0;2;0;5;1;8284;1914;1921;1999;x
Auvert;5538;FRA;1907;1911;1932;1932;2;5;0;2;0;5;1;unknownleader;1907;1932;1999;x
Barthes;5539;FRA;1916;1920;1932;1932;2;6;0;3;0;5;1;unknownleader;1916;1932;1999;x
Berryer;5540;FRA;1897;1907;1911;1932;2;5;0;2;0;5;1;8283;1907;1927;1999;x
Charlier;5541;FRA;1913;1917;1932;1932;2;5;0;2;0;5;1;8281;1913;1932;1999;x
Chocheprat;5542;FRA;1907;1911;1932;1932;2;5;0;2;0;5;1;7934;1907;1928;1999;x
Darrieu;5543;FRA;1908;1916;1932;1932;2;5;0;2;0;5;1;unknownleader;1908;1932;1999;x
de Gueydon;5544;FRA;1913;1916;1932;1932;2;5;0;2;0;5;1;7724;1913;1929;1999;x
de Marolles;5545;FRA;1904;1908;1932;1932;2;5;0;2;0;5;1;unknownleader;1904;1932;1999;x
Didelot;5546;FRA;1916;1920;1932;1932;2;5;0;2;0;5;1;unknownleader;1916;1932;1999;x
Exelmans;5547;FRA;1917;1923;1932;1932;2;6;0;3;0;5;1;unknownleader;1917;1932;1999;x
Fatou;5548;FRA;1916;1921;1932;1932;2;5;0;2;0;5;1;7936;1916;1932;1999;x
Favereau;5549;FRA;1910;1914;1932;1932;2;5;0;2;0;5;1;7937;1910;1932;1999;x
Frochot;5550;FRA;1897;1897;1932;1932;2;6;0;3;0;5;1;7939;1897;1932;1999;x
Gaschard;5551;FRA;1907;1911;1932;1932;2;5;512;2;0;5;1;unknownleader;1907;1915;1999;x
Grasset;5552;FRA;1916;1919;1932;1932;2;5;0;2;0;5;1;7940;1916;1932;1999;x
Grout;5553;FRA;1917;1923;1932;1932;2;5;0;2;0;5;1;unknownleader;1917;1932;1999;x
Habert;5554;FRA;1913;1914;1932;1932;2;6;0;3;0;5;1;unknownleader;1913;1932;1999;x
Jaurès;5555;FRA;1914;1917;1932;1932;2;5;0;2;0;5;1;unknownleader;1914;1932;1999;x
Jehenne;5556;FRA;1917;1922;1932;1932;2;6;0;3;0;5;1;7942;1917;1932;1999;x
Lacaze;5557;FRA;1911;1917;1932;1932;2;6;0;3;0;5;1;534;1911;1932;1999;x
Le Bris;5558;FRA;1908;1913;1932;1932;2;5;0;2;0;5;1;7943;1908;1932;1999;x
Le Cannelier;5559;FRA;1908;1916;1932;1932;2;5;0;2;0;5;1;unknownleader;1908;1932;1999;x
Le Pord;5560;FRA;1906;1912;1932;1932;2;5;512;2;0;5;1;unknownleader;1906;1932;1999;x
Merveilleux du Vignaux;5561;FRA;1916;1919;1932;1932;2;6;0;3;0;5;1;7944;1916;1932;1999;x
Moreau;5562;FRA;1911;1915;1932;1932;2;5;0;2;0;5;1;8278;1911;1929;1999;x
Morin;5563;FRA;1897;1916;1932;1932;2;6;0;3;0;5;1;unknownleader;1916;1919;1999;x
Mornet;5564;FRA;1918;1923;1932;1932;2;5;0;2;0;5;1;unknownleader;1918;1932;1999;x
Nicol;5565;FRA;1911;1915;1932;1932;2;4;0;1;0;5;1;unknownleader;1911;1918;1999;x
Perrin;5566;FRA;1907;1913;1932;1932;2;5;0;2;0;5;1;unknownleader;1907;1926;1999;x
Pivet;5567;FRA;1907;1913;1932;1932;2;5;0;2;0;5;1;7945;1907;1927;1999;x
Ratyé;5568;FRA;1918;1922;1932;1932;2;5;0;2;0;5;1;7946;1918;1932;1999;x
Ronarc'h;5569;FRA;1914;1916;1932;1932;2;6;0;3;0;5;1;535;1914;1932;1999;x
Rouyer;5570;FRA;1911;1916;1932;1932;2;5;0;2;0;5;1;7947;1911;1930;1999;x
Sagot-Duvauroux;5571;FRA;1915;1918;1932;1932;2;5;0;2;0;5;1;8276;1915;1932;1999;x
Salaün;5572;FRA;1915;1918;1932;1932;2;5;0;2;0;5;1;unknownleader;1915;1932;1999;x
Schwérer;5573;FRA;1916;1918;1932;1932;2;5;0;2;0;5;1;unknownleader;1916;1932;1999;x
Tracou;5574;FRA;1908;1916;1932;1932;2;5;0;2;0;5;1;unknownleader;1908;1932;1999;x
Varney;5575;FRA;1916;1920;1932;1932;2;6;0;3;0;5;1;7948;1916;1932;1999;x
Barnouin;5576;FRA;1914;1932;1932;1932;3;6;0;3;0;5;1;unknownleader;1914;1932;1999;x
Biard;5577;FRA;1915;1932;1932;1932;3;6;0;3;0;5;1;8282;1915;1932;1999;x
Boiosrouvray;5578;FRA;1897;1932;1932;1932;3;4;0;1;0;5;1;unknownleader;1897;1932;1999;x
Caubet;5579;FRA;1918;1932;1932;1932;3;6;0;3;0;5;1;unknownleader;1918;1932;1999;x
d'Adhémar de Crasnac;5580;FRA;1908;1932;1932;1932;3;5;0;2;0;5;1;unknownleader;1908;1932;1999;x
Daveluy;5581;FRA;1916;1932;1932;1932;3;6;0;3;0;5;1;unknownleader;1916;1932;1999;x
de Cacqueray;5582;FRA;1908;1932;1932;1932;3;5;0;2;0;5;1;8280;1908;1932;1999;x
de Lostende;5583;FRA;1917;1932;1932;1932;3;5;0;2;0;5;1;unknownleader;1917;1932;1999;x
de Marguerye;5584;FRA;1908;1932;1932;1932;3;6;0;3;0;5;1;8279;1908;1932;1999;x
de Spitz;5585;FRA;1914;1932;1932;1932;3;6;0;3;0;5;1;unknownleader;1914;1932;1999;x
de Sugny;5586;FRA;1911;1932;1932;1932;3;5;0;2;0;5;1;unknownleader;1911;1928;1999;x
Estienne;5587;FRA;1908;1932;1932;1932;3;6;0;3;0;5;1;unknownleader;1908;1932;1999;x
La Taste;5588;FRA;1916;1932;1932;1932;3;5;0;2;0;5;1;unknownleader;1916;1932;1999;x
Lanxade;5589;FRA;1908;1932;1932;1932;3;5;0;2;0;5;1;unknownleader;1908;1932;1999;x
Laugier;5590;FRA;1917;1932;1932;1932;3;5;0;2;0;5;1;unknownleader;1917;1932;1999;x
Lejay;5591;FRA;1917;1932;1932;1932;3;5;0;2;0;5;1;unknownleader;1917;1932;1999;x
Pugliesi-Conti;5592;FRA;1918;1932;1932;1932;3;6;0;3;0;5;1;8277;1918;1932;1999;x
Serres;5593;FRA;1913;1932;1932;1932;3;6;0;3;0;5;1;unknownleader;1913;1930;1999;x
Duval;5594;FRA;1916;1917;1918;1932;1;4;0;1;0;5;2;536;1916;1932;1999;x
Fequant;5595;FRA;1916;1918;1932;1932;2;4;32768;1;0;5;2;unknownleader;1916;1932;1999;x
Menard;5596;FRA;1916;1918;1932;1932;2;4;4096;1;0;5;2;unknownleader;1916;1932;1999;x
Bares;5597;FRA;1914;1932;1932;1932;3;4;0;1;0;5;2;537;1914;1932;1999;x
Bourjade;5598;FRA;1916;1932;1932;1932;3;3;0;0;0;5;2;538;1916;1932;1999;x
Bouttieaux;5599;FRA;1908;1932;1932;1932;3;3;0;0;0;5;2;unknownleader;1908;1932;1999;x
Boyau;5600;FRA;1916;1932;1932;1932;3;3;0;0;0;5;2;539;1916;1932;1999;x
Breton;5601;FRA;1908;1932;1932;1932;3;3;0;0;0;5;2;unknownleader;1908;1932;1999;x
Casale;5602;FRA;1916;1932;1932;1932;3;3;0;0;0;5;2;540;1916;1932;1999;x
Coiffard;5603;FRA;1916;1932;1932;1932;3;3;0;0;0;5;2;541;1916;1932;1999;x
de Goys;5604;FRA;1916;1932;1932;1932;3;3;0;0;0;5;2;unknownleader;1916;1932;1999;x
de Peuty;5605;FRA;1916;1932;1932;1932;3;4;0;1;0;5;2;unknownleader;1916;1932;1999;x
Deullin;5606;FRA;1916;1932;1932;1932;3;3;32768;0;0;5;2;542;1916;1932;1999;x
Ehrlich;5607;FRA;1916;1932;1932;1932;3;3;0;0;0;5;2;543;1916;1932;1999;x
Estienne;5608;FRA;1908;1932;1932;1932;3;3;0;0;0;5;2;unknownleader;1908;1932;1999;x
Fonck;5609;FRA;1916;1932;1932;1932;3;4;4096;1;0;5;2;544;1916;1932;1999;x
Garros;5610;FRA;1915;1932;1932;1932;3;3;4096;0;0;5;2;545;1915;1932;1999;x
Gastin;5611;FRA;1916;1932;1932;1932;3;3;0;0;0;5;2;546;1916;1932;1999;x
Girod;5612;FRA;1914;1932;1932;1932;3;4;0;1;0;5;2;unknownleader;1914;1932;1999;x
Guerin;5613;FRA;1916;1932;1932;1932;3;3;0;0;0;5;2;547;1916;1932;1999;x
Guillabert;5614;FRA;1916;1932;1932;1932;3;3;0;0;0;5;2;unknownleader;1916;1932;1999;x
Guillabert;5615;FRA;1916;1932;1932;1932;3;3;0;0;0;5;2;unknownleader;1916;1932;1999;x
Guynemer;5616;FRA;1915;1932;1932;1932;3;3;4096;0;0;0;2;548;1915;1932;1999;x
Jaillet;5617;FRA;1916;1932;1932;1932;3;4;8192;1;0;5;2;unknownleader;1916;1932;1999;x
Leclerc;5618;FRA;1916;1932;1932;1932;3;3;0;0;0;5;2;unknownleader;1916;1932;1999;x
Tulasne;5619;FRA;1916;1932;1932;1932;3;3;0;0;0;5;2;unknownleader;1916;1932;1999;x
Voyer;5620;FRA;1908;1932;1932;1932;3;4;0;1;0;5;2;unknownleader;1908;1932;1999;x
Billot;5621;FRA;1897;1897;1897;1932;1;6;512;2;0;5;0;549;1895;1899;1999;x
Saussier;5622;FRA;1897;1897;1897;1932;1;6;512;2;0;5;0;550;1896;1898;1999;x
Vincendon;5623;FRA;1897;1897;1897;1932;1;6;0;2;0;5;0;551;1897;1899;1999;x
de Negrier;5624;FRA;1897;1897;1897;1932;1;7;0;3;0;5;0;552;1897;1904;1999;x
Coiffe;5625;FRA;1897;1897;1897;1932;1;6;0;2;0;5;0;553;1897;1899;1999;x
Cailliot;5626;FRA;1897;1897;1897;1932;1;6;0;2;0;5;0;554;1897;1898;1999;x
Jamont;5627;FRA;1897;1897;1897;1932;1;6;512;2;0;5;0;555;1897;1899;1999;x
Fabre;5628;FRA;1897;1897;1932;1932;2;6;0;2;0;5;0;unknownleader;1897;1898;1999;x
Herve;5629;FRA;1897;1897;1898;1932;1;6;0;2;0;5;0;556;1897;1899;1999;x
Peaucellier;5630;FRA;1897;1897;1932;1932;2;6;0;2;0;5;0;unknownleader;1897;1898;1999;x
de France;5631;FRA;1897;1897;1932;1932;2;6;0;2;0;5;0;557;1897;1899;1999;x
de Saint-Mars;5632;FRA;1897;1897;1932;1932;2;5;0;1;0;5;0;558;1897;1898;1999;x
Mercier;5633;FRA;1897;1897;1932;1932;2;8;0;4;0;5;0;559;1897;1899;1999;x
de Jesse;5634;FRA;1897;1897;1932;1932;2;6;4;2;0;5;0;560;1897;1899;1999;x
Nismes;5635;FRA;1897;1897;1932;1932;2;6;0;2;0;5;0;unknownleader;1897;1899;1999;x
Giovanninelli;5636;FRA;1897;1897;1932;1932;2;6;0;2;0;5;0;561;1897;1903;1999;x
Brugere;5637;FRA;1897;1897;1932;1932;2;6;0;2;0;5;0;562;1897;1909;1999;x
Larchey;5638;FRA;1897;1897;1932;1932;2;6;0;2;0;5;0;563;1897;1899;1999;x
Zurlinden;5639;FRA;1897;1897;1932;1932;2;6;0;2;0;5;0;564;1897;1902;1999;x
Prudhomme;5640;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;565;1897;1899;1999;x
Pierron;5641;FRA;1897;1897;1932;1932;2;6;0;2;0;5;0;566;1897;1900;1999;x
Varaigne;5642;FRA;1897;1897;1932;1932;2;6;0;2;0;5;0;567;1897;1899;1999;x
de Saint-Germain;5643;FRA;1897;1897;1932;1932;2;6;0;2;0;5;0;unknownleader;1897;1899;1999;x
Duhesme;5644;FRA;1897;1932;1932;1932;3;6;4;2;0;5;0;unknownleader;1897;1899;1999;x
Gallimard;5645;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;568;1897;1902;1999;x
Brault;5646;FRA;1897;1897;1932;1932;2;6;0;2;0;5;0;569;1897;1900;1999;x
Jacquemin;5647;FRA;1897;1897;1932;1932;2;6;0;2;0;5;0;570;1897;1899;1999;x
de Garnier des Garets;5648;FRA;1897;1897;1932;1932;2;6;0;2;0;5;0;571;1897;1903;1999;x
de Boisdeffre;5649;FRA;1897;1897;1897;1932;1;7;0;3;0;5;0;572;1897;1904;1999;x
de la Roque;5650;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1900;1999;x
Riff;5651;FRA;1897;1897;1932;1932;2;6;0;3;0;5;0;573;1897;1899;1999;x
Zede;5652;FRA;1897;1897;1932;1932;2;6;0;3;0;5;0;574;1897;1902;1999;x
Grisot;5653;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1904;1999;x
Guioth;5654;FRA;1897;1897;1932;1932;2;6;0;2;0;5;0;unknownleader;1897;1899;1999;x
Rapp;5655;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1898;1999;x
Caillard;5656;FRA;1897;1897;1932;1932;2;6;0;3;0;5;0;575;1897;1901;1999;x
Madelor;5657;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1899;1999;x
Boitard;5658;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1898;1999;x
de Sesmaisons;5659;FRA;1897;1898;1932;1932;2;6;0;3;0;5;0;576;1897;1900;1999;x
Chanoine;5660;FRA;1897;1932;1932;1932;3;6;0;3;0;5;0;577;1897;1900;1999;x
Hartung;5661;FRA;1897;1897;1932;1932;2;6;0;2;0;5;0;unknownleader;1897;1898;1999;x
de Lavalette;5662;FRA;1897;1932;1932;1932;3;6;2;3;0;5;0;unknownleader;1897;1899;1999;x
Correnson;5663;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1899;1999;x
Emond d'Esclevin;5664;FRA;1897;1932;1932;1932;3;6;0;3;0;5;0;578;1897;1898;1999;x
Duchesne J.C.R.A.;5665;FRA;1897;1897;1932;1932;2;6;0;3;0;5;0;579;1897;1902;1999;x
Raynal de Tissoniere;5666;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1898;1999;x
Motas d'Hestreux;5667;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1898;1999;x
Segretain;5668;FRA;1897;1897;1932;1932;2;6;0;3;0;5;0;unknownleader;1897;1898;1999;x
Borius;5669;FRA;1897;1897;1932;1932;2;6;0;3;0;5;0;580;1897;1900;1999;x
Potiron de Boisfleury;5670;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1899;1999;x
Gebhart;5671;FRA;1897;1897;1932;1932;2;6;0;3;0;5;0;unknownleader;1897;1899;1999;x
Lebrun;5672;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1901;1999;x
Henry de Kermartin;5673;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1902;1999;x
Garcin;5674;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1899;1999;x
Kessler;5675;FRA;1897;1898;1932;1932;2;6;0;3;0;5;0;581;1897;1901;1999;x
Lyonnard de la Girennerie;5676;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1898;1999;x
Edon;5677;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1900;1999;x
Langlois;5678;FRA;1897;1898;1932;1932;2;6;0;2;0;5;0;unknownleader;1897;1900;1999;x
Strohl;5679;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1899;1999;x
Gras;5680;FRA;1897;1897;1932;1932;2;6;0;2;0;5;0;unknownleader;1897;1901;1999;x
Lucas;5681;FRA;1897;1898;1932;1932;2;6;0;2;0;5;0;unknownleader;1897;1903;1999;x
Faverot de Kerbrech;5682;FRA;1897;1932;1932;1932;3;6;0;3;0;5;0;582;1897;1902;1999;x
Cary;5683;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1898;1999;x
Florentin;5684;FRA;1897;1932;1932;1932;3;6;0;3;0;5;0;583;1897;1901;1999;x
Quinivet;5685;FRA;1897;1897;1932;1932;2;6;0;2;0;5;0;unknownleader;1897;1901;1999;x
Delambre;5686;FRA;1897;1897;1932;1932;2;6;0;2;0;5;0;unknownleader;1897;1898;1999;x
Renault-Morliere;5687;FRA;1897;1897;1932;1932;2;6;0;2;0;5;0;unknownleader;1897;1898;1999;x
Jollivet;5688;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1899;1999;x
Muzac;5689;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1898;1999;x
Robillard;5690;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1899;1999;x
Noëllat;5691;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1904;1999;x
Martin de Randal;5692;FRA;1897;1897;1932;1932;2;6;0;2;0;5;0;unknownleader;1897;1899;1999;x
Derrecagaix;5693;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1899;1999;x
Leclerc;5694;FRA;1897;1897;1932;1932;2;6;0;2;0;5;0;unknownleader;1897;1898;1999;x
de Saint-Julien;5695;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1903;1999;x
de Boysson;5696;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1902;1999;x
Mennessier de la Lance;5697;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1900;1999;x
Parison;5698;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1899;1999;x
Jeannerod;5699;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;584;1897;1901;1999;x
Darras;5700;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1899;1999;x
de Benoist;5701;FRA;1897;1897;1932;1932;2;6;0;2;0;5;0;585;1897;1904;1999;x
Thiou;5702;FRA;1897;1897;1932;1932;2;6;0;2;0;5;0;unknownleader;1897;1898;1999;x
Lanes;5703;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;586;1897;1904;1999;x
Metzinger;5704;FRA;1897;1898;1932;1932;2;6;0;2;0;5;0;587;1897;1907;1999;x
Faure-Biguet;5705;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1903;1999;x
Collet-Meygret;5706;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1899;1999;x
Colbert;5707;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1899;1999;x
Renouard;5708;FRA;1897;1897;1932;1932;2;7;0;3;0;5;0;588;1897;1901;1999;x
de Brye;5709;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1901;1999;x
de la Taille;5710;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1900;1999;x
Mille;5711;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1902;1999;x
Boreau de Roince;5712;FRA;1897;1932;1932;1932;3;5;0;1;0;5;0;unknownleader;1897;1903;1999;x
Letouze de Longuemar;5713;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;589;1897;1901;1999;x
Callet;5714;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1900;1999;x
de Lavigne;5715;FRA;1897;1897;1932;1932;2;6;0;2;0;5;0;unknownleader;1897;1900;1999;x
Gastine;5716;FRA;1897;1932;1932;1932;3;5;0;1;0;5;0;unknownleader;1897;1899;1999;x
Sonnois;5717;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;590;1897;1902;1999;x
de Monard;5718;FRA;1897;1898;1932;1932;2;6;0;2;0;5;0;591;1897;1903;1999;x
Farny;5719;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1903;1999;x
Gripois;5720;FRA;1897;1897;1932;1932;2;7;0;3;0;5;0;unknownleader;1897;1899;1999;x
de Sermet;5721;FRA;1897;1897;1932;1932;2;6;0;2;0;5;0;unknownleader;1897;1902;1999;x
Grasset;5722;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;7940;1897;1903;1999;x
Massiet;5723;FRA;1897;1897;1932;1932;2;6;0;2;0;5;0;unknownleader;1897;1903;1999;x
Godart;5724;FRA;1897;1932;1932;1932;3;6;0;2;0;5;0;unknownleader;1897;1902;1999;x
d'Hugonneau de Boyat;5725;FRA;1897;1932;1932;1932;3;5;0;1;0;5;0;unknownleader;1897;1904;1999;x
Deloye;5726;FRA;1897;1897;1932;1932;2;6;0;2;0;5;0;unknownleader;1897;1902;1999;x
Briois;5727;FRA;1897;1897;1932;1932;2;6;0;2;0;5;0;unknownleader;1897;1904;1999;x
de Chauvenet;5728;FRA;1897;1932;1932;1932;3;5;0;1;0;5;0;unknownleader;1897;1903;1999;x
du Bois de Beauchesne;5729;FRA;1897;1897;1932;1932;2;6;0;2;0;5;0;unknownleader;1897;1901;1999;x
de Geoffre de Chabrignac;5730;FRA;1897;1932;1932;1932;3;5;0;1;0;5;0;unknownleader;1897;1898;1999;x
Tisseyre;5731;FRA;1898;1932;1932;1932;3;5;0;2;0;5;0;unknownleader;1898;1903;1999;x
Jouart;5732;FRA;1898;1932;1932;1932;3;5;0;2;0;5;0;unknownleader;1898;1903;1999;x
Tournier;5733;FRA;1898;1932;1932;1932;3;6;0;3;0;5;0;592;1898;1906;1999;x
Tartrat;5734;FRA;1898;1932;1932;1932;3;4;0;1;0;5;0;unknownleader;1898;1902;1999;x
Gonse;5735;FRA;1898;1932;1932;1932;3;5;0;2;0;5;0;unknownleader;1898;1903;1999;x
Libermann;5736;FRA;1898;1932;1932;1932;3;4;0;1;0;5;0;unknownleader;1898;1902;1999;x
du Hamel de Canchy;5737;FRA;1898;1932;1932;1932;3;5;0;2;0;5;0;unknownleader;1898;1902;1999;x
Mouton;5738;FRA;1898;1932;1932;1932;3;5;0;2;0;5;0;unknownleader;1898;1901;1999;x
Dubouays de la Begassiere;5739;FRA;1898;1932;1932;1932;3;5;0;2;0;5;0;unknownleader;1898;1903;1999;x
Donop;5740;FRA;1898;1932;1932;1932;3;6;0;3;0;5;0;593;1898;1906;1999;x
Caze;5741;FRA;1898;1932;1932;1932;3;6;0;3;0;5;0;594;1898;1904;1999;x
de Cornulier-Luciniere;5742;FRA;1898;1932;1932;1932;3;5;0;2;0;5;0;unknownleader;1898;1903;1999;x
de Ganay;5743;FRA;1898;1932;1932;1932;3;5;0;2;0;5;0;unknownleader;1898;1908;1999;x
Lyautey;5744;FRA;1903;1907;1914;1932;1;7;0;2;0;5;0;595;1903;1932;1999;x
